Path,Distance,Device,Tx-power,RSSI Max,RSSI(Max)>=-75,Signal(1_minuteï¼‰,Signal>=51
MTR_1\A_2.5_300_-4,2.5,EML-L29,-4,-83.0,,35.0,
MTR_1\A_2.5_300_-4,2.5,iPhone9.2,-4,0.0,,OUT ZONE,
MTR_1\A_2.5_300_-4,2.5,iPhone10.2,-4,0.0,,OUT ZONE,
MTR_1\A_2.5_300_-4,2.5,SM-N9500,-4,-85.2,,39.0,
MTR_1\A_5_300_-4,5,EML-L29,-4,-79.0,,42.0,
MTR_1\A_5_300_-4,5,EML-L29,-4,-83.0,,35.0,
MTR_1\A_5_300_-4,5,EML-L29,-4,-79.4,,43.0,
MTR_1\A_5_300_-4,5,iPhone10.2,-4,-72.0,,59.0,
MTR_1\A_5_300_-4,5,iPhone9.2,-4,0.0,,59.0,
MTR_1\A_5_300_-4,5,iPhone9.2,-4,-77.0,,59.0,
MTR_1\A_5_300_-4,5,SM-N9500,-4,-86.2,,39.0,
MTR_1\B_2.5_300_-4,2.5,EML-L29,-4,-60.0,,40.0,
MTR_1\B_2.5_300_-4,2.5,iPhone10.2,-4,-65.0,,59.0,
MTR_1\B_2.5_300_-4,2.5,iPhone9.2,-4,-73.0,,59.0,
MTR_1\B_2.5_300_-4,2.5,iPhone9.2,-4,-67.0,,58.0,
MTR_1\B_2.5_300_-4,2.5,SM-N9500,-4,-72.6,,42.0,
MTR_1\B_5_300_-4,5,EML-L29,-4,-69.2,,51.0,
MTR_1\B_5_300_-4,5,iPhone10.2,-4,0.0,,59.0,
MTR_1\B_5_300_-4,5,iPhone9.2,-4,-76.0,,59.0,
MTR_1\B_5_300_-4,5,iPhone9.2,-4,0.0,,59.0,
MTR_1\B_5_300_-4,5,SM-N9500,-4,-76.4,,47.0,
MTR_1\B_6_300_-4,6,EML-L29,-4,-77.0,,45.0,
MTR_1\B_6_300_-4,6,iPhone10.2,-4,-73.0,,59.0,
MTR_1\B_6_300_-4,6,iPhone9.2,-4,-79.0,,59.0,
MTR_1\B_6_300_-4,6,SM-N9500,-4,-85.8,,30.0,
MTR_1\D_2.5_300_-4,2.5,EML-L29,-4,-65.0,,47.0,
MTR_1\D_2.5_300_-4,2.5,iPhone10.2,-4,-67.0,,59.0,
MTR_1\D_2.5_300_-4,2.5,iPhone9.2,-4,-68.0,,59.0,
MTR_1\D_2.5_300_-4,2.5,SM-N9500,-4,-75.6,,43.0,
MTR_1\D_5_300_-4,5,EML-L29,-4,-67.0,,50.0,
MTR_1\D_5_300_-4,5,iPhone10.2,-4,0.0,,59.0,
MTR_1\D_5_300_-4,5,iPhone9.2,-4,-70.0,,59.0,
MTR_1\D_5_300_-4,5,SM-N9500,-4,-78.2,,48.0,
MTR_1\E_2.5_300_-4,2.5,EML-L29,-4,-61.8,,47.0,
MTR_1\E_2.5_300_-4,2.5,iPhone10.2,-4,-63.0,,59.0,
MTR_1\E_2.5_300_-4,2.5,iPhone9.2,-4,-65.0,,59.0,
MTR_1\E_2.5_300_-4,2.5,SM-N9500,-4,-73.8,,45.0,
MTR_1\E_5_300_-4,5,EML-L29,-4,-66.33333333333333,,50.0,
MTR_1\E_5_300_-4,5,iPhone10.2,-4,-64.0,,59.0,
MTR_1\E_5_300_-4,5,iPhone9.2,-4,-69.0,,59.0,
MTR_1\E_5_300_-4,5,SM-N9500,-4,-79.75,,48.0,
MTR_1\F_2.5_300_-4,2.5,EML-L29,-4,-65.0,,51.0,
MTR_1\F_2.5_300_-4,2.5,iPhone10.2,-4,-63.0,,59.0,
MTR_1\F_2.5_300_-4,2.5,iPhone9.2,-4,-68.0,,59.0,
MTR_1\F_2.5_300_-4,2.5,SM-N9500,-4,-75.2,,45.0,
MTR_1\F_5_300_-4,5,EML-L29,-4,-71.0,,50.0,
MTR_1\F_5_300_-4,5,iPhone10.2,-4,-62.0,,59.0,
MTR_1\F_5_300_-4,5,iPhone9.2,-4,-70.0,,59.0,
MTR_1\F_5_300_-4,5,SM-N9500,-4,-77.0,,48.0,
MTR_1\G_2.5_300_-4,2.5,EML-L29,-4,-58.0,,52.0,
MTR_1\G_2.5_300_-4,2.5,iPhone10.2,-4,-57.0,,59.0,
MTR_1\G_2.5_300_-4,2.5,iPhone9.2,-4,-63.0,,59.0,
MTR_1\G_2.5_300_-4,2.5,SM-N9500,-4,-68.0,,49.0,
MTR_1\G_2.5_300_-8,2.5,iPhone9.2,-8,-67.0,,59.0,
MTR_1\G_2.5_300_-8,2.5,iPhone10.2,-8,-67.0,,59.0,
MTR_1\G_2.5_300_-8,2.5,SM-N9500,-8,-72.0,,54.0,
MTR_1\G_2.5_600_-8,2.5,EML-L29,-8,-67.8,,39.0,
MTR_1\G_2.5_600_-8,2.5,iPhone9.2,-8,0.0,,59.0,
MTR_1\G_2.5_600_-8,2.5,SM-N9500,-8,-71.6,,40.0,
MTR_1\G_5_300_-4,5,EML-L29,-4,-66.0,,52.0,
MTR_1\G_5_300_-4,5,iPhone10.2,-4,-64.0,,59.0,
MTR_1\G_5_300_-4,5,iPhone9.2,-4,-68.0,,59.0,
MTR_1\G_5_300_-4,5,iPhone10.2,-4,-64.0,,59.0,
MTR_1\G_5_300_-4,5,SM-N9500,-4,-76.0,,50.0,
MTR_1\G_5_300_-8,5,EML-L29,-8,-67.2,,40.0,
MTR_1\G_5_300_-8,5,EML-L29,-8,-66.4,,50.0,
MTR_1\G_5_300_-8,5,iPhone9.2,-8,-72.0,,59.0,
MTR_1\G_5_300_-8,5,iPhone10.2,-8,-68.0,,59.0,
MTR_1\G_5_300_-8,5,SM-N9500,-8,-81.4,,39.0,
MTR_1\G_5_600_-4,5,EML-L29,-4,-66.0,,52.0,
MTR_1\G_5_600_-4,5,EML-L29,-4,-70.0,,38.0,
MTR_1\G_5_600_-4,5,iPhone9.2,-4,-70.0,,59.0,
MTR_1\G_5_600_-4,5,iPhone10.2,-4,-64.0,,59.0,
MTR_1\G_5_600_-4,5,SM-N9500,-4,-77.8,,36.0,
MTR_1\G_5_600_-8,5,EML-L29,-8,-67.4,,37.0,
MTR_1\G_5_600_-8,5,iPhone9.2,-8,0.0,,59.0,
MTR_1\G_5_600_-8,5,iPhone10.2,-8,0.0,,59.0,
MTR_1\G_5_600_-8,5,iPhone10.2,-8,0.0,,58.0,
MTR_1\G_5_600_-8,5,SM-N9500,-8,-80.4,,38.0,
MTR_1\H_6.4_300_-4,6.4,EML-L29,-4,-70.4,,54.0,
MTR_1\H_6.4_300_-4,6.4,iPhone9.2,-4,-74.0,,59.0,
MTR_1\H_6.4_300_-4,6.4,iPhone10.2,-4,-68.0,,59.0,
